"","estrato1","sex","age","oficio","relab","impa","maxEducLevel","college","regSalud","cotPension","totalHoursWorked","formal","cuentaPropia","microEmpresa","sizeFirm","y_total_m","ln_y","age2","Mujer"
"1","2","1",36,"39","2",1840833.33333333,"5","1","2","1",45,"1","0","0","5",1620833.25,14.2984509268268,1296,0
"2","2","1",51,"85","1",1378973.33333333,"6","0","1","1",48,"1","0","0","3",1378973.375,14.1368498491199,2601,0
"3","2","1",45,"45","1",883357,"3","0","1","1",56,"1","0","1","2",883357,13.6914847013882,2025,0
"4","2","1",61,"53","1",7e+05,"2","0","3","2",40,"0","0","0","4",7e+05,13.4588356140255,3721,0
"5","2","0",35,"13","2",1941500,"6","0","2","1",48,"1","0","0","5",1941500.125,14.4789714925371,1225,1
"6","2","0",35,"42","1",1083000,"5","1","1","1",40,"1","0","0","5",1083000,13.8952455259831,1225,1
"7","2","1",39,"33","1",1616333.33333333,"6","0","1","1",44,"1","0","0","5",1616333.375,14.2956707931979,1521,0
"8","2","1",29,"37","4",1e+06,"6","0","1","2",40,"0","1","1","1",1e+06,13.8155105579643,841,0
"9","2","1",29,"45","1",779000,"5","1","1","1",54,"1","0","1","2",779000,13.5657663248529,841,0
"10","2","0",44,"57","4",3e+05,"4","0","1","2",42,"0","1","1","1",3e+05,12.6115377536383,1936,1
"11","2","1",31,"45","1",0,"5","1","1","1",55,"1","0","0","5",1137252.275,13.9441256258699,961,0
"12","2","1",55,"84","5",0,"5","1","3","2",48,"0","0","1","2",1093009.425,13.9044453901773,3025,0
"13","2","0",56,"55","1",820857,"3","0","1","1",48,"1","0","0","5",820857,13.6181041954319,3136,1
"14","2","1",23,"39","1",882333.416666667,"6","0","1","1",40,"1","0","0","5",882333.4375,13.6903253105993,529,0
"15","2","1",30,"53","1",949806.666666667,"5","1","1","1",54,"1","0","0","3",949806.6875,13.7640137560284,900,0
"16","2","0",50,"45","4",6e+05,"6","0","1","2",48,"0","1","1","1",6e+05,13.3046849341983,2500,1
"17","2","1",28,"39","1",949806.666666667,"6","0","1","1",48,"1","0","0","5",949806.6875,13.7640137560284,784,0
"18","2","0",54,"79","4",1500000,"4","0","3","2",66,"0","1","1","2",1500000,14.2209756660724,2916,1
"19","2","1",36,"37","1",3e+05,"5","1","3","2",16,"0","0","1","2",3e+05,12.6115377536383,1296,0
"20","2","0",53,"56","4",60000,"4","0","1","2",40,"0","1","1","1",60000,11.0020998412042,2809,1
"21","2","0",33,"39","1",1591500,"6","0","1","1",48,"1","0","0","3",1591500,14.2801875257043,1089,1
"22","2","1",38,"37","1",795883.666666667,"5","1","1","1",48,"1","0","0","5",795883.6875,13.5872083329186,1444,0
"23","2","1",51,"93","4",0,"5","1","1","2",48,"0","1","1","1",1188149.28819444,13.9879074344731,2601,0
"24","2","0",51,"55","1",1083333.33333333,"5","1","1","1",45,"1","0","0","4",1083333.375,13.8955533040993,2601,1
"25","2","1",43,"21","1",3633333.33333333,"6","0","1","1",48,"1","0","0","5",3633333.25,15.1056610355955,1849,0
"26","2","1",47,"98","4",1300000,"5","1","1","1",70,"1","1","1","1",1300000,14.0778748224318,2209,0
"27","2","0",41,"32","2",1659806.66666667,"5","1","2","1",40,"1","0","0","5",1659806.625,14.3222116625833,1681,1
"28","2","0",31,"97","1",826883.666666667,"5","1","1","1",48,"1","0","0","4",826883.6875,13.625419320221,961,1
